district_name,block_name,gp_name,village_name,village_code,village_latitude,village_longitude,total_hhd,TOT_P,TOT_M,TOT_F,P_SC,P_ST,P_LIT,P_ILL,TOT_WORK_P,MAINWORK_P,MARGWORK_P,total_hhd_having_piped_water_connection,total_no_of_community_toilets_constructed,availability_of_phc,availability_of_chc,distance_of_phc,distance_of_chc,total_no_of_schools_primary_sections,total_no_of_schools_middle_sections,availability_of_high_school,availability_of_ssc_school,is_village_connected_to_all_weather_road,distance_of_all_weather_road,availability_of_internal_pucca_road,availablility_hours_of_domestic_electricity,is_broadband_available,no_of_shgs_under_nrlm,total_hhd_mobilized_into_shg,total_no_of_shg_promoted,total_shg_members_engaged_in_income_generation_activities,availability_of_cottage_small_scale_units,total_hhd_engaged_cottage_small_scale_units,piped_water_pct,toilet_per_100hh,sanitation_deficit_raw,sanitation_deficit,has_health_fac,min_health_distance,health_deficit_raw,health_deficit,total_schools,schools_per_1000,education_deficit_raw,education_deficit,service_deficit_index,road_deficit_raw,road_deficit,digital_deficit_raw,digital_deficit,electricity_deficit_raw,electricity_deficit
CHAMPAWAT,BARAKOT,AAGAR,Chaura Shah,54202,29.445848,80.116762,10,83,35,48,58,0,38,45,28,1,27,4,0,2,2,5,5,1,0,2,2,1,0,3,4,1,3,10,0,0,2,0,40,0,0.6,0.6,1,5,0.6,1,5,60.24096386,0.984939759,0.984939759,0.875481928,0,1,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,AAGAR,Aagar,54207,29.44939,80.115116,98,516,268,248,46,0,374,142,192,127,65,18,0,2,2,5,5,1,0,2,2,1,0,3,3,1,8,54,6,0,2,0,18.36734694,0,0.816326531,0.816326531,1,5,0.6,1,5,9.689922481,0.997577519,0.997577519,0.944171215,0,1,0,1,0.5,0.5
CHAMPAWAT,BARAKOT,AAGAR,Naini Mahar,54208,29.44939,80.115116,35,109,46,63,12,0,66,43,35,18,17,0,0,2,2,5,5,0,0,2,2,2,5,3,3,1,3,20,0,0,2,0,0,0,1,1,1,5,0.6,1,4,36.69724771,0.990825688,0.990825688,0.997247706,-0.2,0.615384615,0,1,0.5,0.5
CHAMPAWAT,BARAKOT,BAIRA BADWAL,Baila,54137,29.485274,80.01454,0,18,9,9,18,0,8,10,5,0,5,0,0,2,2,5,5,0,0,2,2,2,2,3,5,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,4,222.2222222,0.944444444,0.944444444,0.983333333,-0.44,0.153846154,-1,0,0,0
CHAMPAWAT,BARAKOT,BAIRA BADWAL,Baira Badwal,54138,29.485274,80.01454,205,777,377,400,136,0,499,278,426,53,373,35,0,2,2,5,5,2,0,2,2,1,0,3,4,2,14,70,2,1,2,0,17.07317073,0,0.829268293,0.829268293,1,5,0.6,1,6,7.722007722,0.998069498,0.998069498,0.948201337,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,BAIRAOM,Bamaira,54135,29.413845,80.082417,12,107,56,51,107,0,70,37,19,2,17,0,0,2,2,5,5,0,0,2,2,1,0,3,4,2,2,0,2,12,2,0,0,0,1,1,1,5,0.6,1,4,37.38317757,0.990654206,0.990654206,0.997196262,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,BAIRAOM,Bairaorn,54136,29.414663,80.07532,12,372,195,177,371,0,238,134,95,10,85,0,1,2,2,4,4,1,0,2,1,1,0,3,4,2,2,10,2,12,2,0,0,8.333333333,1,1,1,4,0.45,0.75,4,10.75268817,0.997311828,0.997311828,0.899193548,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,BAIRAOM,Dungraorn,54150,29.413823,80.082448,17,78,40,38,78,0,52,26,23,1,22,0,0,2,2,5,5,1,0,2,2,1,0,3,4,2,2,0,2,14,2,0,0,0,1,1,1,5,0.6,1,5,64.1025641,0.983974359,0.983974359,0.995192308,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,BALSAUN,Jamar,54216,29.439602,80.136078,26,146,78,68,0,0,102,44,71,28,43,10,0,2,2,5,5,1,0,2,2,1,0,3,3,2,0,0,0,0,2,0,38.46153846,0,0.615384615,0.615384615,1,5,0.6,1,5,34.24657534,0.991438356,0.991438356,0.882046891,0,1,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,BALSAUN,Balso,54218,29.425982,80.14425,144,654,281,373,58,0,420,234,373,322,51,0,1,2,2,5,5,2,2,2,2,1,0,2,3,1,18,119,18,18,2,0,0,0.694444444,1,1,1,5,0.6,1,8,12.2324159,0.996941896,0.996941896,0.999082569,0,1,0,1,0.5,0.5
